"2,0,0","2,0,1","2,1,0","2,1,1","3,0,0","3,0,1","3,1,0","3,1,1"
0.015345899576005885,0.015038827476545438,0.02037236322196427,0.05242134729604622,0.015345897486229604,0.015345897893225942,0.01139434284491714,0.007760133011245272
0.0027179733014050904,0.0025098261357013865,0.00014553040564241256,0.00014587055266043907,0.0027135963627147887,0.0027167519755388943,0.0001461640913164271,0.00014627004432366103
0.00018246394355988464,0.00018564732192800077,0.09776329247645844,0.08970639167098077,0.00018794893405147962,0.0001858357218048263,0.09469868184201845,0.0948455523921327
0.0010839440153289797,0.0010852264967746727,0.003828404424862009,0.003911945686529724,0.0010864851021922374,0.0010854581061173721,0.003921133870471899,0.003923305944000015
0.017055629587879068,0.017055629948182903,0.03626652022074116,0.03773245116103844,0.017055620348935315,0.01705562525738979,0.03744445340159967,0.03661970098805999
0.002041897008058106,0.0020418965189249677,0.054532576993871124,0.052354598139029415,0.00204202917358227,0.002041906301365823,0.052766823627193156,0.051343172367014585
2.924106068116918e-06,0.00016836879970515842,0.006946715281103277,0.007323889135285259,2.923893248367337e-06,2.924171054551182e-06,0.006510900629298421,0.006499248951558411
0.0019196833785879502,0.0016773094821549955,0.00027443262631311966,0.000277649673158001,0.0019196815409143217,0.001919683719201445,0.0001675237934214176,0.0001614696714629173
6.042236321226355e-05,3.386048877580788e-05,0.003622602308169266,0.003314393007513654,6.0422035842247625e-05,6.042338069329507e-05,0.003616345991849747,0.003521364013034395
0.0010380985690249735,0.0010983954239073888,0.0001799772528253458,0.003440647072761574,0.0010381001112799338,0.0010381015435617258,0.00019454557977274816,0.00020651844536837837
0.0009105400277070798,0.008276334429589501,0.045742920023715904,0.04583313915729959,0.0017306115729242106,0.0012260527456174806,0.037070113086455636,0.035927173798720194
0.00016467705650484907,0.003045892702184619,0.0003674931758243018,0.00023803577553270736,0.021777226155342094,0.022042362448580596,0.00023201995774776716,0.00022811671637378418
0.0016227960712718388,0.08253103244150169,0.004822979815843198,0.0049564396409620326,0.015024383487357912,0.015131569325685556,0.004988457885989663,0.005054296824728232
0.07092868707759283,0.010565462573964958,0.0018302425584793604,0.0021086661796172928,0.0713628489257915,0.07118102647680796,0.0020826358690569638,0.0021326594021425873
0.004720729822338961,0.005375714953395304,0.000405956119355978,0.0003813574063468902,0.06421203067386827,0.0644520182017575,0.00037493320737890456,0.00038140759238847595
0.05662804099228827,0.051400504525814975,0.0005165363894316339,0.0003390353268396076,0.05630814536004166,0.05652389244485552,0.0005362508326925669,0.0005835269016543865
0.0047045326312523976,0.017167221140982025,0.01168614268192249,0.011199927688489895,0.0019301130117379177,0.0019729246564491394,0.01183144863621634,0.01173731453367295
0.00019321909998701707,2.9432056315467836e-07,0.010666007293420508,0.01099144489982186,0.000193315804976498,0.00019322858350851742,0.011115956506662557,0.011291826407076452
0.016398233612207866,0.0006420568325334159,0.022592786443603994,0.02258991452033574,0.016394335220841924,0.01639794854132514,0.022477707739954937,0.02247837355157806
0.007883668240907388,0.0075732474465829485,0.013457825917671612,0.014204792803163455,0.007889551185007226,0.007884253977402732,0.013795270711496312,0.013840669624677128
0.013052780278011059,0.014854942441290252,0.0006457684414444843,0.0006573925835234146,0.013052691264211482,0.013052777906399542,0.000661333370068464,0.000683198404077595
0.00015678975674923379,0.0005960028751878992,0.026478332347166886,0.02424469507243747,0.0001567897257045542,0.00015678960296689376,0.024079168943092248,0.027036740340304774
