time,sunshine_duration
2019-04-14,44393.242
2019-04-15,35887.164
2019-04-16,42421.71
2019-04-17,45082.266
2019-04-18,44145.05
2019-04-19,43612.49
2019-04-20,44534.387
2019-04-21,45034.29
2019-04-22,47140.125
2019-04-23,47381.36
2019-04-24,47624.406
2019-04-25,47574.117
2019-04-26,48032.508
2019-04-27,48295.785
2019-04-28,46348.82
2019-04-29,47975.855
2019-04-30,48652.707
2019-05-01,48770.168
2019-05-02,48886.902
2019-05-03,48433.688
2019-05-04,49117.785
2019-05-05,49231.734
2019-05-06,49098.668
2019-05-07,49456.117
2019-05-08,49566.35
2019-05-09,49222.344
2019-05-10,45985.24
2019-05-11,49887.855
2019-05-12,49991.594
2019-05-13,50093.42
2019-05-14,32463.395
2019-05-15,19077.84
2019-05-16,50283.87
2019-05-17,50331.324
2019-05-18,20100.676
2019-05-19,42791.18
2019-05-20,49168.86
2019-05-21,45156.45
2019-05-22,35287.586
2019-05-23,43445.223
2019-05-24,50098.93
2019-05-25,50400.0
2019-05-26,37931.367
2019-05-27,36469.402
2019-05-28,44028.895
2019-05-29,50400.0
2019-05-30,50400.0
2019-05-31,48375.63
2019-06-01,48087.21
2019-06-02,50400.0
2019-06-03,50400.0
2019-06-04,50400.0
2019-06-05,50400.0
2019-06-06,50400.0
2019-06-07,50400.0
2019-06-08,50400.0
2019-06-09,49954.547
2019-06-10,45995.465
2019-06-11,44463.863
2019-06-12,50400.0
2019-06-13,50400.0
2019-06-14,50400.0
2019-06-15,50400.0
2019-06-16,50400.0
2019-06-17,50400.0
2019-06-18,50400.0
2019-06-19,50400.0
2019-06-20,50400.0
2019-06-21,50400.0
2019-06-22,50400.0
2019-06-23,50400.0
2019-06-24,50400.0
2019-06-25,50400.0
2019-06-26,50400.0
2019-06-27,50400.0
2019-06-28,36529.445
2019-06-29,50400.0
2019-06-30,50400.0
2019-07-01,50400.0
2019-07-02,50400.0
2019-07-03,50400.0
2019-07-04,50400.0
2019-07-05,50400.0
2019-07-06,50400.0
2019-07-07,50400.0
2019-07-08,50400.0
2019-07-09,50400.0
2019-07-10,50400.0
2019-07-11,50400.0
2019-07-12,50400.0
2019-07-13,50400.0
2019-07-14,50400.0
2019-07-15,50400.0
2019-07-16,50387.57
2019-07-17,50347.59
2019-07-18,50307.293
2019-07-19,50266.086
2019-07-20,50223.97
2019-07-21,47663.14
2019-07-22,50137.27
2019-07-23,50092.824
2019-07-24,50047.742
2019-07-25,50002.086
2019-07-26,49955.926
2019-07-27,49909.33
2019-07-28,49862.355
2019-07-29,48974.113
2019-07-30,49767.54
2019-07-31,49719.83
2019-08-01,49671.992
2019-08-02,49624.1
2019-08-03,49576.203
2019-08-04,49528.367
2019-08-05,46871.938
2019-08-06,47800.3
2019-08-07,49223.59
2019-08-08,48917.266
2019-08-09,48869.19
2019-08-10,48885.008
2019-08-11,48768.844
2019-08-12,48651.215
2019-08-13,48532.24
2019-08-14,48412.008
2019-08-15,48256.715
2019-08-16,48168.246
2019-08-17,47848.504
2019-08-18,47496.285
2019-08-19,46849.45
2019-08-20,47087.293
2019-08-21,47029.668
2019-08-22,46678.08
2019-08-23,46129.71
2019-08-24,45601.27
2019-08-25,45658.605
2019-08-26,44259.984
2019-08-27,45192.55
2019-08-28,44670.887
2019-08-29,44441.906
2019-08-30,44213.938
2019-08-31,43987.566
2019-09-01,43762.38
2019-09-02,43341.164
2019-09-03,43383.96
2019-09-04,43200.0
2019-09-05,43200.0
2019-09-06,43226.55
2019-09-07,43223.047
2019-09-08,43200.0
2019-09-09,43200.0
2019-09-10,43200.0
2019-09-11,43200.0
2019-09-12,43200.0
2019-09-13,43200.0
2019-09-14,43200.0
2019-09-15,43200.0
2019-09-16,42337.0
2019-09-17,43200.0
2019-09-18,43200.0
2019-09-19,43142.44
2019-09-20,43051.742
2019-09-21,42960.71
2019-09-22,42869.434
2019-09-23,42778.023
2019-09-24,42686.59
2019-09-25,42595.22
2019-09-26,42504.02
2019-09-27,42413.1
2019-09-28,42322.562
2019-09-29,42232.492
2019-09-30,42140.93
2019-10-01,42002.32
2019-10-02,41864.23
2019-10-03,41726.75
2019-10-04,41589.97
2019-10-05,41453.973
2019-10-06,40593.934
2019-10-07,40876.03
2019-10-08,40290.254
2019-10-09,40282.49
2019-10-10,39984.383
2019-10-11,39033.22
2019-10-12,39675.777
2019-10-13,39083.586
2019-10-14,39072.32
2019-10-15,39060.434
2019-10-16,33284.652
2019-10-17,38741.867
2019-10-18,38653.254
2019-10-19,38597.664
2019-10-20,38541.758
2019-10-21,38485.547
2019-10-22,38429.023
2019-10-23,38372.207
2019-10-24,38315.1
2019-10-25,38257.723
2019-10-26,38200.008
2019-10-27,38141.71
2019-10-28,38082.855
2019-10-29,38002.992
2019-10-30,37963.625
2019-10-31,37773.062
2019-11-01,37809.21
2019-11-02,37516.65
2019-11-03,37186.26
2019-11-04,36855.953
2019-11-05,36525.746
2019-11-06,35888.977
2019-11-07,36173.34
2019-11-08,36152.598
2019-11-09,35824.75
2019-11-10,35806.754
2019-11-11,35480.418
2019-11-12,35031.266
2019-11-13,30209.621
2019-11-14,29897.867
2019-11-15,35297.156
2019-11-16,35257.84
2019-11-17,35220.19
2019-11-18,35184.22
2019-11-19,34847.676
2019-11-20,31859.479
2019-11-21,35086.59
2019-11-22,35057.55
2019-11-23,35030.29
2019-11-24,35004.855
2019-11-25,34981.254
2019-11-26,26176.246
2019-11-27,25074.355
2019-11-28,8898.776
2019-11-29,34427.793
2019-11-30,0.0
2019-12-01,2690.4836
2019-12-02,23363.08
2019-12-03,17402.777
2019-12-04,26620.434
2019-12-05,25172.568
2019-12-06,34247.883
2019-12-07,28599.36
2019-12-08,33765.863
2019-12-09,15634.089
2019-12-10,26031.25
2019-12-11,27096.623
2019-12-12,30331.086
2019-12-13,16574.91
2019-12-14,32021.455
2019-12-15,33244.95
2019-12-16,34254.89
2019-12-17,24568.93
2019-12-18,28061.643
2019-12-19,32399.984
2019-12-20,28800.0
2019-12-21,13323.812
2019-12-22,25078.635
2019-12-23,6864.948
2019-12-24,29348.773
2019-12-25,21605.357
2019-12-26,22793.541
2019-12-27,34256.516
2019-12-28,34278.734
2019-12-29,16874.459
2019-12-30,31810.273
2019-12-31,33948.42
2020-01-01,32438.47
2020-01-02,30836.096
2020-01-03,33428.82
2020-01-04,34478.094
2020-01-05,34577.78
2020-01-06,34629.188
2020-01-07,32114.91
2020-01-08,33617.75
2020-01-09,9494.84
2020-01-10,33776.074
2020-01-11,31180.084
2020-01-12,34901.438
2020-01-13,33494.906
2020-01-14,20330.273
2020-01-15,34946.67
2020-01-16,22208.674
2020-01-17,34681.957
2020-01-18,32178.352
2020-01-19,14789.806
2020-01-20,5140.4443
2020-01-21,27159.91
2020-01-22,29687.693
2020-01-23,32945.402
2020-01-24,33883.035
2020-01-25,33896.14
2020-01-26,31508.586
2020-01-27,35303.87
2020-01-28,33144.75
2020-01-29,32619.672
2020-01-30,34356.777
2020-01-31,35476.4
2020-02-01,35770.043
2020-02-02,33843.902
2020-02-03,36415.48
2020-02-04,36431.94
2020-02-05,36143.754
2020-02-06,36776.098
2020-02-07,37102.414
2020-02-08,37124.68
2020-02-09,37452.35
2020-02-10,37759.324
2020-02-11,38001.016
2020-02-12,38064.688
2020-02-13,38128.117
2020-02-14,38191.297
2020-02-15,38172.05
2020-02-16,37236.152
2020-02-17,38096.465
2020-02-18,38440.625
2020-02-19,38501.94
2020-02-20,38562.785
2020-02-21,31946.91
2020-02-22,23535.336
2020-02-23,38742.38
2020-02-24,38801.52
2020-02-25,38909.973
2020-02-26,38928.844
2020-02-27,38033.617
2020-02-28,32400.0
2020-02-29,39092.836
2020-03-01,16196.806
2020-03-02,39880.76
2020-03-03,40183.734
2020-03-04,40196.258
2020-03-05,38925.402
2020-03-06,39642.61
2020-03-07,17400.596
2020-03-08,37174.36
2020-03-09,26189.586
2020-03-10,25519.344
2020-03-11,41029.434
2020-03-12,42002.895
2020-03-13,42087.78
2020-03-14,40323.484
2020-03-15,19920.207
2020-03-16,1056.716
2020-03-17,35062.44
2020-03-18,35143.625
2020-03-19,41249.17
2020-03-20,42696.59
2020-03-21,23150.479
2020-03-22,38046.344
2020-03-23,38231.6
2020-03-24,32704.408
2020-03-25,41163.684
2020-03-26,43200.0
2020-03-27,43200.0
2020-03-28,20916.19
2020-03-29,33865.055
2020-03-30,43200.0
2020-03-31,43200.0
2020-04-01,43200.0
2020-04-02,43428.305
2020-04-03,43403.293
2020-04-04,37729.41
2020-04-05,5949.117
2020-04-06,43200.0
2020-04-07,43200.0
2020-04-08,30046.346
2020-04-09,10337.755
2020-04-10,43229.344
2020-04-11,43494.418
2020-04-12,43599.117
2020-04-13,44115.73
2020-04-14,45215.996
2020-04-15,45154.723
2020-04-16,43461.812
2020-04-17,36359.285
2020-04-18,30348.344
2020-04-19,45502.574
2020-04-20,30187.547
2020-04-21,46565.27
2020-04-22,47100.555
2020-04-23,47324.496
2020-04-24,47962.38
2020-04-25,45940.836
2020-04-26,46203.117
2020-04-27,48381.49
2020-04-28,48502.703
2020-04-29,39690.867
2020-04-30,48742.61
2020-05-01,48861.1
2020-05-02,48978.473
2020-05-03,49094.633
2020-05-04,49209.453
2020-05-05,49322.84
2020-05-06,46427.043
2020-05-07,49544.82
2020-05-08,49653.19
2020-05-09,49759.645
2020-05-10,49864.086
2020-05-11,47773.625
2020-05-12,40404.605
2020-05-13,49249.855
2020-05-14,50218.992
2020-05-15,50267.64
2020-05-16,49781.73
2020-05-17,45064.94
2020-05-18,43826.17
2020-05-19,48156.64
2020-05-20,50400.0
2020-05-21,50400.0
2020-05-22,50400.0
2020-05-23,50400.0
2020-05-24,50400.0
2020-05-25,50400.0
2020-05-26,50400.0
2020-05-27,50400.0
2020-05-28,50400.0
2020-05-29,48316.02
2020-05-30,44665.55
2020-05-31,41617.465
2020-06-01,48318.973
2020-06-02,50400.0
2020-06-03,50400.0
2020-06-04,50400.0
2020-06-05,49572.723
2020-06-06,50400.0
2020-06-07,50400.0
2020-06-08,50400.0
2020-06-09,50400.0
2020-06-10,50400.0
2020-06-11,49192.402
2020-06-12,50400.0
2020-06-13,50400.0
2020-06-14,50400.0
2020-06-15,50400.0
2020-06-16,50400.0
2020-06-17,50400.0
2020-06-18,50400.0
2020-06-19,50400.0
2020-06-20,50400.0
2020-06-21,50400.0
2020-06-22,50400.0
2020-06-23,50400.0
2020-06-24,50400.0
2020-06-25,50400.0
2020-06-26,50400.0
2020-06-27,50400.0
2020-06-28,50400.0
2020-06-29,50400.0
2020-06-30,50400.0
2020-07-01,50400.0
2020-07-02,50400.0
2020-07-03,50400.0
2020-07-04,50400.0
2020-07-05,50400.0
2020-07-06,50400.0
2020-07-07,50400.0
2020-07-08,50400.0
2020-07-09,50400.0
2020-07-10,48426.484
2020-07-11,50400.0
2020-07-12,50400.0
2020-07-13,50400.0
2020-07-14,50400.0
2020-07-15,50400.0
2020-07-16,50362.836
2020-07-17,50321.156
2020-07-18,50278.645
2020-07-19,50235.37
2020-07-20,50191.418
2020-07-21,48785.56
2020-07-22,50101.766
2020-07-23,50056.215
2020-07-24,50010.28
2020-07-25,49964.03
2020-07-26,49917.547
2020-07-27,49870.89
2020-07-28,49824.14
2020-07-29,49777.367
2020-07-30,49730.625
2020-07-31,49684.0
2020-08-01,49637.45
2020-08-02,49590.56
2020-08-03,49543.316
2020-08-04,49473.016
2020-08-05,49363.496
2020-08-06,49252.285
2020-08-07,49139.516
2020-08-08,49025.277
2020-08-09,48909.703
2020-08-10,48792.883
2020-08-11,48674.938
2020-08-12,48555.96
2020-08-13,30493.48
2020-08-14,46484.48
2020-08-15,45147.12
2020-08-16,46381.957
2020-08-17,47215.527
2020-08-18,47160.824
2020-08-19,47105.645
2020-08-20,47049.98
2020-08-21,44593.105
2020-08-22,44974.543
2020-08-23,44708.273
2020-08-24,45641.96
2020-08-25,45117.688
2020-08-26,44886.17
2020-08-27,45237.9
2020-08-28,44718.156
